,Song,Video Title,Views
107726,Light It Up,,
107743,Like I Loved You,,
107885,Say Something,Justin Timberlake - Say Something (Official Video) ft. Chris Stapleton,2125929.0
108010,Betrayed,,
108072,Round Here Buzz,,
108162,Singles You Up,,
108203,Red Roses,,
108217,Candy Paint,,
108434,Sauce It Up,,
108624,Codeine Dreaming,,
108869,Rockstar,,
109324,Bad At Love,,
109586,Stir Fry,Migos - Stir Fry (Audio),487995.0
110083,Pray For Me,"The Weeknd, Kendrick Lamar - Pray For Me (Audio)",3070722.0
110091,Plug Walk,,
110215,All The Stars,"Kendrick Lamar, SZA - All The Stars (Audio)",1685423.0
110514,Plain Jane,,
110946,...Ready For It?,,
110970,Ric Flair Drip,,
111009,Silence,,
111089,Bartier Cardi,,
111292,Pills And Automobiles,,
111408,Roll In Peace,,
111450,Round Here Buzz,,
111470,Outside Today,,
111566,River,Breaking Benjamin - Red Cold River (Audio Only),334173.0
111585,Pick It Up,,
111719,Betrayed,,
111963,Singles You Up,,
111976,Say Something,Justin Timberlake - Say Something (Official Video) ft. Chris Stapleton,2125929.0
112063,Candy Paint,,
112381,Red Roses,,
112431,Sauce It Up,,
112687,Rockstar,,
113005,Bad At Love,,
113419,Stir Fry,Migos - Stir Fry (Audio),487995.0
113470,Pray For Me,"The Weeknd, Kendrick Lamar - Pray For Me (Audio)",3070722.0
113941,Plain Jane,,
113990,All The Stars,"Kendrick Lamar, SZA - All The Stars (Audio)",1685423.0
114190,...Ready For It?,,
114351,Ric Flair Drip,,
114418,Silence,,
114622,Bartier Cardi,,
114743,Pick It Up,,
114834,Pills And Automobiles,,
114837,Roll In Peace,,
114840,Round Here Buzz,,
115099,Betrayed,,
115155,Outside Today,,
115414,Candy Paint,,
115470,Singles You Up,,
115508,River,Breaking Benjamin - Red Cold River (Audio Only),334173.0
115569,Say Something,Justin Timberlake - Say Something (Official Video) ft. Chris Stapleton,2125929.0
115694,Red Roses,,
115912,Sauce It Up,,
116058,Rockstar,,
116326,Bad At Love,,
116717,Stir Fry,Migos - Stir Fry (Audio),487995.0
116990,Plain Jane,,
117137,Bartier Cardi,,
117278,Silence,,
117359,Ric Flair Drip,,
117468,All The Stars,"Kendrick Lamar, SZA - All The Stars (Audio)",1685423.0
117691,Pills And Automobiles,,
117829,Roll In Peace,,
117830,Round Here Buzz,,
117951,...Ready For It?,,
118032,Pick It Up,,
118305,Red Roses,,
118306,A Girl Like You,,
118307,Break Up In The End,,
118308,Sativa,Jhené Aiko - Sativa ft. Rae Sremmurd,1063246.0
118309,Close,,
118310,Preach,,
118738,Criminal,,
118739,Rock,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
119189,Perro Fiel,,
119190,Best Friend,,
119191,Broken Clocks,,
119192,Alone,"Halsey - Alone (Audio) ft. Big Sean, Stefflon Don",627239.0
119235,Psycho,,
119295,Chun-Li,Nicki Minaj - Chun-Li,5294561.0
119298,Pray For Me,"The Weeknd, Kendrick Lamar - Pray For Me (Audio)",3070722.0
119303,Be Careful,,
119362,Say Something,Justin Timberlake - Say Something (Official Video) ft. Chris Stapleton,2125929.0
119400,Bartier Cardi,,
119404,Sad!,,
119423,Call Out My Name,The Weeknd - Call Out My Name (Official Video),7831865.0
119482,Better Now,,
119524,Barbie Tingz,,
119919,Paranoid,,
119966,Rich & Sad,,
120011,Ball For Me,,
120111,ATM,,
120208,Dame Tu Cosita,,
120210,Ring,,
120263,Stay,X Ambassadors - Don't Stay (Audio),110882.0
120424,Overdose,,
120665,Spoil My Night,,
120712,Outside Today,,
120848,All The Stars,"Kendrick Lamar, SZA - All The Stars (Audio)",1685423.0
120866,Billy,,
121053,Diplomatic Immunity,,
121378,Codeine Dreaming,,
121518,Changes,,
121778,Diamond Teeth Samurai,,
122179,Over Now,,
122221,Te Bote,,
122327,44 More,,
122348,Paramedic!,,
122482,Same Bitches,,
122624,Delicate,Taylor Swift - Delicate,14820746.0
122668,Takin' Shots,,
122670,Best Life,,
122850,Bickenhead,,
123034,92 Explorer,,
123039,Plug Walk,,
123207,Betrayed,,
123217,Red Roses,,
123658,Boo'd Up,,
123849,Call It What You Want,,
123917,Booty,,
124559,Powerglide,,
125099,Rewrite The Stars,,
125111,Sit Next To Me,,
125286,1985 (Intro To The Fall Off),,
125526,Photograph,,
125540,Rubbin Off The Paint,,
126023,OTW,,
126228,Big Shot,,
126928,Say Amen (Saturday Night),,
127143,Best Friend,,
127566,Otherside,,
127567,BBO (Bad Bitches Only),,
127680,Stir Fry,Migos - Stir Fry (Audio),487995.0
127681,Singles You Up,,
127713,Pick It Up,,
127758,She Bad,,
127759,Sick Boy,The Chainsmokers - Sick Boy,1448694.0
127817,Corazon,,
128240,Pray For Me,"The Weeknd, Kendrick Lamar - Pray For Me (Audio)",3070722.0
128553,For The First Time,,
128591,I Lived It,,
128632,Get Along,,
128706,God's Plan,,
128818,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
128911,Gucci Gang,,
129108,Meant To Be,,
129132,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
129359,Let You Down,NF - Let You Down,1774018.0
129455,I Get The Bag,,
129456,Gummo,,
129526,MotorSport,"Migos, Nicki Minaj, Cardi B - MotorSport",4514272.0
129564,Mine,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,965999.0
129642,Him & I,G-Eazy & Halsey - Him & I (Official Video),1554273.0
129651,How Long,,
129833,I Fall Apart,,
130023,Marry Me,Thomas Rhett - Marry Me,851835.0
130271,Lights Down Low,,
130417,Dura,,
130558,Lemon,,
130640,Like I Loved You,,
130673,Greatest Love Story,,
130724,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",4014741.0
130809,Light It Up,,
130870,Look What You Made Me Do,,
130889,Five More Minutes,,
130988,I'll Name The Dogs,,
130991,Losing Sleep,,
131137,New Freezer,,
131262,Most People Are Good,,
131266,IDGAF,,
131484,F**k Love,,
131593,Jocelyn Flores,,
131624,Echame La Culpa,,
131718,El Farsante,,
131871,Dusk Till Dawn,,
132008,God's Plan,,
132117,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
132239,Meant To Be,,
132291,Gucci Gang,,
132426,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
132460,Let You Down,NF - Let You Down,1774018.0
132538,I Get The Bag,,
132592,Mine,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,965999.0
132753,New Rules,,
132774,I Fall Apart,,
132806,How Long,,
132820,MotorSport,"Migos, Nicki Minaj, Cardi B - MotorSport",4514272.0
132910,Him & I,G-Eazy & Halsey - Him & I (Official Video),1554273.0
132987,Gummo,,
133227,Marry Me,Thomas Rhett - Marry Me,851835.0
133314,Lights Down Low,,
133636,Lemon,,
133676,Like I Loved You,,
133770,I'll Name The Dogs,,
133835,Greatest Love Story,,
133905,Losing Sleep,,
133988,Light It Up,,
134003,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",4014741.0
134086,IDGAF,,
134142,Look What You Made Me Do,,
134164,Five More Minutes,,
134168,Every Little Thing,,
134186,New Freezer,,
134222,Most People Are Good,,
134532,F**k Love,,
134692,Dusk Till Dawn,,
134745,El Farsante,,
134798,Jocelyn Flores,,
134843,Echame La Culpa,,
134948,God's Plan,,
135030,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
135158,Meant To Be,,
135268,Gucci Gang,,
135298,Let You Down,NF - Let You Down,1774018.0
135415,I Get The Bag,,
135484,Mine,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,965999.0
135528,New Rules,,
135563,I Fall Apart,,
135620,How Long,,
135710,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
135833,MotorSport,"Migos, Nicki Minaj, Cardi B - MotorSport",4514272.0
135843,Lights Down Low,,
135885,Him & I,G-Eazy & Halsey - Him & I (Official Video),1554273.0
136196,Marry Me,Thomas Rhett - Marry Me,851835.0
136379,Gummo,,
136420,Greatest Love Story,,
136495,Lemon,,
136581,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",4014741.0
136621,IDGAF,,
136639,Losing Sleep,,
136656,Like I Loved You,,
136729,I'll Name The Dogs,,
136804,Look What You Made Me Do,,
136865,Light It Up,,
136912,Five More Minutes,,
137098,Every Little Thing,,
137375,F**k Love,,
137391,Echame La Culpa,,
137669,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
137678,Meant To Be,,
137772,Gucci Gang,,
137808,Let You Down,NF - Let You Down,1774018.0
137899,New Rules,,
137961,I Fall Apart,,
138067,How Long,,
138085,I Get The Bag,,
138243,Lights Down Low,,
138344,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
138389,MotorSport,"Migos, Nicki Minaj, Cardi B - MotorSport",4514272.0
138576,Him & I,G-Eazy & Halsey - Him & I (Official Video),1554273.0
138821,Marry Me,Thomas Rhett - Marry Me,851835.0
138835,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",4014741.0
138889,Be Careful,,
139061,I'll Name The Dogs,,
139219,Five More Minutes,,
139248,Echame La Culpa,,
139434,F**k Love,,
139594,Meant To Be,,
139712,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
139775,Let You Down,NF - Let You Down,1774018.0
139861,Gucci Gang,,
139881,New Rules,,
139907,I Fall Apart,,
139950,Lights Down Low,,
139973,How Long,,
140075,I Get The Bag,,
140177,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
140355,MotorSport,"Migos, Nicki Minaj, Cardi B - MotorSport",4514272.0
140364,Lemon,,
140485,Him & I,G-Eazy & Halsey - Him & I (Official Video),1554273.0
140633,Look What You Made Me Do,,
140659,Gummo,,
140676,Marry Me,Thomas Rhett - Marry Me,851835.0
140865,Greatest Love Story,,
140886,Like I Loved You,,
140986,Losing Sleep,,
141360,Echame La Culpa,,
141518,Five More Minutes,,
141523,I'll Name The Dogs,,
141634,Meant To Be,,
141751,Mi Gente,,
141806,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
141817,Let You Down,NF - Let You Down,1774018.0
141845,New Rules,,
141931,I Fall Apart,,
142006,Lights Down Low,,
142038,I Get The Bag,,
142055,Gucci Gang,,
142084,How Long,,
142122,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
142261,Lemon,,
142360,MotorSport,"Migos, Nicki Minaj, Cardi B - MotorSport",4514272.0
142634,Greatest Love Story,,
143456,Meant To Be,,
143596,Mi Gente,,
143607,New Rules,,
143621,Let You Down,NF - Let You Down,1774018.0
143674,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
143735,I Fall Apart,,
143819,I Get The Bag,,
143823,Lights Down Low,,
143983,Gucci Gang,,
144007,How Long,,
144110,MotorSport,"Migos, Nicki Minaj, Cardi B - MotorSport",4514272.0
144163,Lemon,,
144478,Meant To Be,,
144562,Feel It Still,,
144597,New Rules,,
144611,Mi Gente,,
144675,Let You Down,NF - Let You Down,1774018.0
144691,I Fall Apart,,
144713,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
144769,Lights Down Low,,
144785,I Get The Bag,,
144970,How Long,,
145008,Gucci Gang,,
145317,Meant To Be,,
145367,Feel It Still,,
145416,New Rules,,
145483,Mi Gente,,
145505,Let You Down,NF - Let You Down,1774018.0
145531,I Fall Apart,,
145605,Lights Down Low,,
145609,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
145721,I Get The Bag,,
145819,Gucci Gang,,
145832,How Long,,
146020,Meant To Be,,
146065,New Rules,,
146087,Feel It Still,,
146181,Mi Gente,,
146209,I Fall Apart,,
146229,Let You Down,NF - Let You Down,1774018.0
146261,Lights Down Low,,
146303,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
146414,I Get The Bag,,
146605,Meant To Be,,
146643,New Rules,,
146681,Feel It Still,,
146803,I Fall Apart,,
146848,Let You Down,NF - Let You Down,1774018.0
146856,Mi Gente,,
146877,Lights Down Low,,
146901,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
146975,I Get The Bag,,
147113,Meant To Be,,
147130,New Rules,,
147201,Feel It Still,,
147309,I Fall Apart,,
147311,Mi Gente,,
147366,Let You Down,NF - Let You Down,1774018.0
147383,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
147433,Lights Down Low,,
147469,I Get The Bag,,
147535,Meant To Be,,
147547,New Rules,,
147645,Feel It Still,,
147742,Mi Gente,,
147770,I Fall Apart,,
147800,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
147813,Lights Down Low,,
147843,Let You Down,NF - Let You Down,1774018.0
147897,Meant To Be,,
147907,New Rules,,
147935,Feel It Still,,
148099,Mi Gente,,
148112,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
148140,I Fall Apart,,
148201,Meant To Be,,
148218,New Rules,,
148263,Feel It Still,,
148401,Mi Gente,,
148412,I Fall Apart,,
148490,New Rules,,
148529,Feel It Still,,
148717,New Rules,,
148754,Feel It Still,,
148909,New Rules,,
148952,Feel It Still,,
149076,New Rules,,
149108,Feel It Still,,
149188,Humble.,,
149236,New Rules,,
149262,Feel It Still,,
149553,Look Alive,,
149633,Freaky Friday,,
149879,Gummo,,
149883,MotorSport,"Migos, Nicki Minaj, Cardi B - MotorSport",4514272.0
149895,Him & I,G-Eazy & Halsey - Him & I (Official Video),1554273.0
150321,Mine,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,965999.0
150417,I Like It,,
150706,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",4014741.0
151244,Friends,Camila Cabello - Real Friends (Audio),1796416.0
151920,Marry Me,Thomas Rhett - Marry Me,851835.0
151978,In My Blood,Shawn Mendes - In My Blood,2822006.0
152327,End Game,"Taylor Swift - End Game ft. Ed Sheeran, Future",14089954.0
152399,One Kiss,"Calvin Harris, Dua Lipa - One Kiss (Lyric Video)",1916118.0
152443,Meant To Be,,
152463,How Long,,
152886,New Freezer,,
153403,Let You Down,NF - Let You Down,1774018.0
153456,Love Lies,Khalid & Normani - Love Lies (Audio),464170.0
153863,No Excuses,Meghan Trainor - No Excuses,1034355.0
153868,Dura,,
154100,Japan,,
154326,Most People Are Good,,
154459,Lemon,,
154932,Echame La Culpa,,
154933,El Farsante,,
155001,Get Along,,
155082,One Foot,,
155281,One Number Away,Luke Combs - One Number Away (Lyric Video),20956.0
155332,Drip,,
155429,Nowadays,,
155591,Hardaway,,
155657,Kooda,,
155723,MIC Drop,,
155725,Narcos,,
155852,Everyday,,
155901,Lights Down Low,,
156033,La Modelo,,
156128,I Like Me Better,,
156140,Ghostface Killers,,
156194,KEKE,,
156265,Five More Minutes,,
156376,Ice Tray,,
156525,Filthy,Justin Timberlake - Filthy (Official Video),211014.0
156540,For The First Time,,
156670,Moonlight,,
156718,I Lived It,,
156764,IDGAF,,
156787,My Dawg,,
156963,God's Plan,,
157140,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
157375,Look Alive,,
157447,MotorSport,"Migos, Nicki Minaj, Cardi B - MotorSport",4514272.0
157973,Freaky Friday,,
158275,Him & I,G-Eazy & Halsey - Him & I (Official Video),1554273.0
158517,Mine,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,965999.0
158684,Gummo,,
159518,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",4014741.0
159617,At The Club,,
159759,Blame It On Me,,
159868,She's With Me,,
160307,Cry Pretty,Carrie Underwood - Cry Pretty (Official Music Video),945426.0
160492,Beautiful Trauma,P!nk - Beautiful Trauma (Official Video),2484089.0
160754,Beautiful Crazy,,
160784,Proud,,
161010,Psycho,,
161043,Sad!,,
161072,Pray For Me,"The Weeknd, Kendrick Lamar - Pray For Me (Audio)",3070722.0
161180,Bartier Cardi,,
161202,Be Careful,,
161251,Call Out My Name,The Weeknd - Call Out My Name (Official Video),7831865.0
161590,Better Now,,
161872,Say Something,Justin Timberlake - Say Something (Official Video) ft. Chris Stapleton,2125929.0
162196,Dame Tu Cosita,,
162307,Changes,,
162636,Te Bote,,
162942,Outside Today,,
163035,44 More,,
163230,Chun-Li,Nicki Minaj - Chun-Li,5294561.0
163469,Billy,,
163580,Ball For Me,,
163695,Powerglide,,
163703,Overdose,,
163784,Delicate,Taylor Swift - Delicate,14820746.0
163822,Rubbin Off The Paint,,
163946,Paranoid,,
163950,All The Stars,"Kendrick Lamar, SZA - All The Stars (Audio)",1685423.0
164099,Rich & Sad,,
164226,Plug Walk,,
164271,ATM,,
164276,Ric Flair Drip,,
164848,Spoil My Night,,
165312,Boo'd Up,,
165401,Codeine Dreaming,,
165745,Stay,X Ambassadors - Don't Stay (Audio),110882.0
166149,Betrayed,,
166804,Rewrite The Stars,,
166884,Ring,,
167129,Sit Next To Me,,
167226,Stir Fry,Migos - Stir Fry (Audio),487995.0
167424,Red Roses,,
167748,Paramedic!,,
168040,Singles You Up,,
168051,Barbie Tingz,,
168617,Best Friend,,
168689,OTW,,
168807,Pick It Up,,
168833,Diplomatic Immunity,,
169329,At The Club,,
169412,Corazon,,
169465,Rap Saved Me,,
169593,Over Now,,
169597,Diamond Teeth Samurai,,
169599,Booty,,
169882,Pick It Up,,
169895,Codeine Dreaming,,
170049,Betrayed,,
170084,Red Roses,,
170094,Round Here Buzz,,
170265,Changes,,
170283,Sit Next To Me,,
170470,Billy,,
170602,She's With Me,,
170845,Rockstar,,
171271,Psycho,,
171835,Stir Fry,Migos - Stir Fry (Audio),487995.0
171923,All The Stars,"Kendrick Lamar, SZA - All The Stars (Audio)",1685423.0
172150,Plug Walk,,
172325,Pray For Me,"The Weeknd, Kendrick Lamar - Pray For Me (Audio)",3070722.0
173370,Bartier Cardi,,
173962,Say Something,Justin Timberlake - Say Something (Official Video) ft. Chris Stapleton,2125929.0
174160,Outside Today,,
174450,Powerglide,,
174750,River,Breaking Benjamin - Red Cold River (Audio Only),334173.0
174925,Delicate,Taylor Swift - Delicate,14820746.0
175171,Everyday,,
175215,Lights Down Low,,
175339,El Farsante,,
175465,For The First Time,,
175468,IDGAF,,
175532,I Like Me Better,,
175552,Losing Sleep,,
175804,I Lived It,,
175915,MIC Drop,,
175975,La Modelo,,
176040,Narcos,,
176094,KEKE,,
176357,One Foot,,
176532,God's Plan,,
176846,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
177002,Look Alive,,
177285,MotorSport,"Migos, Nicki Minaj, Cardi B - MotorSport",4514272.0
177809,Freaky Friday,,
177822,Gummo,,
178051,Him & I,G-Eazy & Halsey - Him & I (Official Video),1554273.0
178065,Mine,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,965999.0
178187,Let You Down,NF - Let You Down,1774018.0
178562,In My Blood,Shawn Mendes - In My Blood,2822006.0
178620,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",4014741.0
178636,I Fall Apart,,
179057,Meant To Be,,
179092,How Long,,
179322,End Game,"Taylor Swift - End Game ft. Ed Sheeran, Future",14089954.0
179648,Friends,Camila Cabello - Real Friends (Audio),1796416.0
179781,One Number Away,Luke Combs - One Number Away (Lyric Video),20956.0
179879,Marry Me,Thomas Rhett - Marry Me,851835.0
180304,New Freezer,,
180529,Most People Are Good,,
180760,Lemon,,
180991,Love Lies,Khalid & Normani - Love Lies (Audio),464170.0
181012,Five More Minutes,,
181201,Nowadays,,
181242,No Excuses,Meghan Trainor - No Excuses,1034355.0
181245,Dura,,
181353,Like I Loved You,,
181424,El Farsante,,
181493,IDGAF,,
181577,Lights Down Low,,
181645,Echame La Culpa,,
181657,Hardaway,,
181713,Everyday,,
181787,La Modelo,,
181902,Losing Sleep,,
182085,I Like Me Better,,
182314,Narcos,,
182369,I Lived It,,
182541,MIC Drop,,
182730,God's Plan,,
183012,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
183046,Gucci Gang,,
183311,Look Alive,,
183714,MotorSport,"Migos, Nicki Minaj, Cardi B - MotorSport",4514272.0
183867,Mine,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,965999.0
184035,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
184134,Him & I,G-Eazy & Halsey - Him & I (Official Video),1554273.0
184395,Let You Down,NF - Let You Down,1774018.0
184463,Gummo,,
184620,I Fall Apart,,
184815,Friends,Camila Cabello - Real Friends (Audio),1796416.0
185045,Meant To Be,,
185203,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",4014741.0
185355,How Long,,
185407,Outside Today,,
185415,Betrayed,,
185685,Candy Paint,,
185883,Red Roses,,
186055,Say Something,Justin Timberlake - Say Something (Official Video) ft. Chris Stapleton,2125929.0
186148,Rockstar,,
186282,Bad At Love,,
186842,Stir Fry,Migos - Stir Fry (Audio),487995.0
186968,Plain Jane,,
187128,Silence,,
187192,Ric Flair Drip,,
187269,Bartier Cardi,,
187467,All The Stars,"Kendrick Lamar, SZA - All The Stars (Audio)",1685423.0
187543,Roll In Peace,,
187597,Pills And Automobiles,,
187705,...Ready For It?,,
188016,Pick It Up,,
188185,Outside Today,,
188215,Betrayed,,
188243,Round Here Buzz,,
188330,Candy Paint,,
188722,Red Roses,,
188810,Rockstar,,
188907,Bad At Love,,
189205,Ric Flair Drip,,
189538,Silence,,
189639,Plain Jane,,
189659,All The Stars,"Kendrick Lamar, SZA - All The Stars (Audio)",1685423.0
189739,Stir Fry,Migos - Stir Fry (Audio),487995.0
189971,Pills And Automobiles,,
189974,Roll In Peace,,
190160,Bartier Cardi,,
190423,Candy Paint,,
190424,Pick It Up,,
190537,Betrayed,,
190591,...Ready For It?,,
190598,Outside Today,,
190801,Round Here Buzz,,
191076,Red Roses,,
191181,Rockstar,,
191199,Bad At Love,,
191369,Sorry Not Sorry,Demi Lovato - Sorry Not Sorry in the Live Lounge,131153.0
191457,Ric Flair Drip,,
191730,Bank Account,,
191759,Praying,,
191830,All The Stars,"Kendrick Lamar, SZA - All The Stars (Audio)",1685423.0
191836,Plain Jane,,
192039,Silence,,
192087,Roll In Peace,,
192189,Stir Fry,Migos - Stir Fry (Audio),487995.0
192201,Pills And Automobiles,,
192542,Pick It Up,,
192624,Bartier Cardi,,
192671,Betrayed,,
192771,Candy Paint,,
192881,Red Roses,,
193064,...Ready For It?,,
193255,Bodak Yellow (Money Moves),,
193262,Rockstar,,
193287,Bad At Love,,
193360,Sorry Not Sorry,Demi Lovato - Sorry Not Sorry in the Live Lounge,131153.0
193452,Ric Flair Drip,,
193502,Bank Account,,
193655,Rake It Up,,
193714,Praying,,
193861,Plain Jane,,
193959,Silence,,
194027,Roll In Peace,,
194107,Stir Fry,Migos - Stir Fry (Audio),487995.0
194644,Bartier Cardi,,
195124,Rockstar,,
195142,Bodak Yellow (Money Moves),,
195150,Bad At Love,,
195257,Sorry Not Sorry,Demi Lovato - Sorry Not Sorry in the Live Lounge,131153.0
195357,Ric Flair Drip,,
195370,Bank Account,,
195526,Rake It Up,,
195647,Praying,,
195661,Roll In Peace,,
195684,Plain Jane,,
195756,Stir Fry,Migos - Stir Fry (Audio),487995.0
195792,Silence,,
196255,Call Out My Name,The Weeknd - Call Out My Name (Official Video),7831865.0
196258,Chun-Li,Nicki Minaj - Chun-Li,5294561.0
196564,Say Something,Justin Timberlake - Say Something (Official Video) ft. Chris Stapleton,2125929.0
196661,River,Breaking Benjamin - Red Cold River (Audio Only),334173.0
196909,Outside Today,,
196993,Powerglide,,
198012,Ric Flair Drip,,
198678,Delicate,Taylor Swift - Delicate,14820746.0
199132,Rubbin Off The Paint,,
199409,Singles You Up,,
199432,Codeine Dreaming,,
199612,Billy,,
200008,Candy Paint,,
200123,Changes,,
200777,Betrayed,,
201010,Sit Next To Me,,
201040,She's With Me,,
201126,Red Roses,,
201297,Rewrite The Stars,,
201301,Pick It Up,,
201624,At The Club,,
201699,Corazon,,
202164,Psycho,,
202459,All The Stars,"Kendrick Lamar, SZA - All The Stars (Audio)",1685423.0
202574,Stir Fry,Migos - Stir Fry (Audio),487995.0
202706,Pray For Me,"The Weeknd, Kendrick Lamar - Pray For Me (Audio)",3070722.0
202863,Boo'd Up,,
203503,Plug Walk,,
203642,Bartier Cardi,,
203850,Sad!,,
203951,Be Careful,,
204274,Say Something,Justin Timberlake - Say Something (Official Video) ft. Chris Stapleton,2125929.0
204883,Call Out My Name,The Weeknd - Call Out My Name (Official Video),7831865.0
205107,River,Breaking Benjamin - Red Cold River (Audio Only),334173.0
205218,Powerglide,,
205227,Outside Today,,
206178,Ric Flair Drip,,
206222,Singles You Up,,
206232,Plain Jane,,
206237,Candy Paint,,
206752,Sad!,,
206873,Rubbin Off The Paint,,
207076,Pick It Up,,
207293,Round Here Buzz,,
207295,Sit Next To Me,,
207376,Betrayed,,
207470,Red Roses,,
207650,Codeine Dreaming,,
207898,Changes,,
208111,Rockstar,,
208268,Psycho,,
209096,All The Stars,"Kendrick Lamar, SZA - All The Stars (Audio)",1685423.0
209315,Stir Fry,Migos - Stir Fry (Audio),487995.0
209685,Plug Walk,,
209771,Pray For Me,"The Weeknd, Kendrick Lamar - Pray For Me (Audio)",3070722.0
210559,Bartier Cardi,,
210770,Powerglide,,
211102,Sad!,,
211275,Delicate,Taylor Swift - Delicate,14820746.0
211281,Say Something,Justin Timberlake - Say Something (Official Video) ft. Chris Stapleton,2125929.0
211419,Outside Today,,
211585,River,Breaking Benjamin - Red Cold River (Audio Only),334173.0
211695,Plain Jane,,
211854,Pills And Automobiles,,
211942,Ric Flair Drip,,
212088,Singles You Up,,
212435,Pick It Up,,
212452,Candy Paint,,
212590,Rubbin Off The Paint,,
212811,Round Here Buzz,,
212958,Betrayed,,
213089,Red Roses,,
213279,Codeine Dreaming,,
213727,Rockstar,,
214022,Psycho,,
214689,Stir Fry,Migos - Stir Fry (Audio),487995.0
215070,All The Stars,"Kendrick Lamar, SZA - All The Stars (Audio)",1685423.0
215362,Bad At Love,,
215372,...Ready For It?,,
215376,Pray For Me,"The Weeknd, Kendrick Lamar - Pray For Me (Audio)",3070722.0
215618,Plug Walk,,
216055,Sad!,,
216191,Bartier Cardi,,
216309,Powerglide,,
216847,Too Good At Goodbyes,,
216848,Too Good At Goodbyes,,
216849,Too Good At Goodbyes,,
216850,Too Good At Goodbyes,,
216851,Too Good At Goodbyes,,
216852,Too Good At Goodbyes,,
216853,Too Good At Goodbyes,,
216854,Too Good At Goodbyes,,
216855,Too Good At Goodbyes,,
216856,Too Good At Goodbyes,,
216857,Too Good At Goodbyes,,
216858,Too Good At Goodbyes,,
216859,Too Good At Goodbyes,,
